nesterukia@nesterukia-VirtualBox:~$ ps -eF
UID          PID    PPID  C    SZ   RSS PSR STIME TTY          TIME CMD
root         758       1  0 20530  8424   0 ноя09 ?     00:00:00 /usr/sbin/c
root         800       1  0 31675  5536   0 ноя09 ?     00:00:00 /usr/bin/py
root         808       1  0 62466  4992   0 ноя09 ?     00:00:00 /usr/sbin/g
root         888       1  0 43153  6220   0 ноя09 ?     00:00:00 /usr/sbin/c
kernoops     892       1  0  3270   128   0 ноя09 ?     00:00:00 /usr/sbin/k
kernoops     898       1  0  3270   136   0 ноя09 ?     00:00:00 /usr/sbin/k
rtkit        942       1  0 38500   724   0 ноя09 ?     00:00:01 /usr/libexe
root        1068       1  0 62748  4576   0 ноя09 ?     00:00:01 /usr/libexe
root        1180       1  0 113770 23032  0 ноя09 ?     00:00:12 /usr/libexe
colord      1381       1  0 63485  5368   0 ноя09 ?     00:00:00 /usr/libexe
root        1427     808  0 81777  6516   0 ноя09 ?     00:00:00 gdm-session
nesteru+    1438       1  0  4799  7040   0 ноя09 ?     00:00:05 /lib/system
nesteru+    1439    1438  0 26122   572   0 ноя09 ?     00:00:00 (sd-pam)
nesteru+    1445    1438  0 12057  2452   0 ноя09 ?     00:00:00 /usr/bin/pi
nesteru+    1446    1438  0  8028  2212   0 ноя09 ?     00:00:00 /usr/bin/pi
nesteru+    1447    1438  0 423352 10868  0 ноя09 ?     00:00:22 /usr/bin/pu
nesteru+    1455       1  0 62384  3732   0 ноя09 ?     00:00:00 /usr/bin/gn
nesteru+    1459    1438  0  3209  7628   0 ноя09 ?     00:00:08 /usr/bin/db
nesteru+    1461    1438  0 62348  4912   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1469    1438  0 95221  3732   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1472    1427  0 42759  3740   0 ноя09 tty2  00:00:00 /usr/libexe
nesteru+    1481    1472  0 57921  5772   0 ноя09 tty2  00:00:00 /usr/libexe
nesteru+    1495    1438  0 117986 4884   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1499    1438  0 98184  4124   0 ноя09 ?     00:00:00 /usr/libexe
root        1505    1495  0   698   660   0 ноя09 ?     00:00:00 fusermount3
nesteru+    1540    1438  0 178961 15732  0 ноя09 ?     00:00:07 /usr/libexe
nesteru+    1553    1438  0 25139  2884   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1564    1438  0 150423 8000   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1569    1438  0 99623  6924   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1579    1438  0 80992  4408   0 ноя09 ?     00:00:06 /usr/libexe
nesteru+    1584    1438  0 61548  4092   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1592    1438  0 61307  4084   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1596    1438  0 61320  3836   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1600    1438  0 160908 7388   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1606    1438  1 1039125 283472 0 ноя09 ?    00:28:45 /usr/bin/gn
nesteru+    1609    1564  0 77403  4904   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1616    1609  0  2140  3028   0 ноя09 ?     00:00:00 /usr/bin/db
nesteru+    1627    1438  0 105194 5184   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1689    1438  0 158117 8076   0 ноя09 ?     00:00:04 /usr/libexe
nesteru+    1693    1438  0 208728 35388  0 ноя09 ?     00:00:04 /usr/libexe
nesteru+    1696    1438  0 145722 5888   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1706    1438  0 171894 8096   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1714    1438  0 179539 7828   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1723    1438  0 39264  3992   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1727    1438  0 172300 7100   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1742    1461  0 80984  5340   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1754    1438  0 652601 16556  0 ноя09 ?     00:00:01 /usr/bin/gj
nesteru+    1756    1438  0 40669  4428   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1765    1438  0   722   404   0 ноя09 ?     00:00:00 sh -c /usr/
nesteru+    1767    1438  0 79766  4096   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1769    1765  0 99343  5756   0 ноя09 ?     00:00:22 /usr/bin/ib
nesteru+    1770    1438  0 114932 8480   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1773    1438  0 96027  6064   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1776    1438  0 80141  4472   0 ноя09 ?     00:00:02 /usr/libexe
nesteru+    1779    1438  0 87314  7304   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1782    1438  0 162909 9460   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1785    1438  0 162623 10324  0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1789    1438  0 64624  5596   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1790    1438  0 116625 3864   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1792    1438  0 61233  4004   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1793    1438  0 118645 5640   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1801    1438  0 117104 4304   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1805    1438  0 81998  4812   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1812    1438  0 87464  7048   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1813    1564  0 58065  4784   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1845    1769  0 61489  3980   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1846    1769  0 89113  7872   0 ноя09 ?     00:00:05 /usr/libexe
nesteru+    1854    1564  0 186311 10628  0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1862    1438  0 116809 5156   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1891    1438  0 87751  6008   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    1923    1438  0 315643 134328 0 ноя09 ?     00:00:34 /snap/snap-
nesteru+    1946    1769  0 43100  5008   0 ноя09 ?     00:00:07 /usr/libexe
nesteru+    2019    1438  0 88290  8960   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    2028    1438  0 652043 12648  0 ноя09 ?     00:00:00 /usr/bin/gj
nesteru+    2096    1438  0 42924  4200   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    2643    1564  0 127869 15480  0 ноя09 ?     00:00:03 update-noti
nesteru+    3894    1606  0 46477  6704   0 ноя09 ?     00:01:33 /usr/bin/Xw
nesteru+    3897    1438  0 129008 9508   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    3925    1438  0 50628  6492   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    4395    1461  0 99344  5904   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    4414    1461  0 81368  5048   0 ноя09 ?     00:00:00 /usr/libexe
nesteru+    7698    1438  0 142706 3892   0 ноя09 ?     00:00:01 /usr/bin/sn
root       15122       1  0 185943 24448  0 ноя09 ?     00:00:24 /usr/lib/sn
nesteru+   15654    1438  0 77204  3744   0 ноя09 ?     00:00:00 /snap/snapd
nesteru+   16345    1438  0 190186 58272  0 ноя09 ?     00:00:17 /usr/bin/na
nesteru+   16378    1461  0 99359  6456   0 ноя09 ?     00:00:00 /usr/libexe
root       16562       1  0  3856  5196   0 ноя09 ?     00:00:00 sshd: /usr/
root       21301       2  0     0     0   0 07:11 ?        00:00:00 [kworker/0:
nesteru+   22232    1606  1 260621 377056 0 08:07 ?        00:05:49 /snap/teleg
root       24506       2  0     0     0   0 16:16 ?        00:00:00 [kworker/u2
root       24797       2  0     0     0   0 16:44 ?        00:00:00 [kworker/0:
root       24812       2  0     0     0   0 16:46 ?        00:00:00 [kworker/u2
root       24853       2  0     0     0   0 17:05 ?        00:00:00 [kworker/0:
root       24875       2  0     0     0   0 17:05 ?        00:00:00 [kworker/u2
nesteru+   24898    1606  0 700477 55656  0 17:06 ?        00:00:00 gjs /usr/sh
nesteru+   24942    1438  1 142547 50316  0 17:06 ?        00:00:00 /usr/libexe
nesteru+   24960   24942  0  4949  5156   0 17:06 pts/0    00:00:00 bash
root       24967       2  0     0     0   0 17:06 ?        00:00:00 [kworker/u2
nesteru+   24970   24960  0  5331  3412   0 17:06 pts/0    00:00:00 ps -eF
nesterukia@nesterukia-VirtualBox:~$ ps -e --format="pid cmd ppid c"
    PID CMD                            PPID  C
